vx(m/s),vy(m/s),yaw_rate(rad/s),steering(rad),throttle(%),brake(%)
12.73028088,0.70324326,0.63503605,0.040523927670156605,0.34522539,0.0
12.75682259,0.61288357,0.55316901,0.01338031724372516,0.34522539,0.0
12.78346825,0.48044777,0.43756941,-0.012614359956684673,0.34125796,0.0
12.80640221,0.36985731,0.32605731,-0.037244675056657496,0.34125796,0.0
12.82608414,0.26763105,0.2216801,-0.06003190840292083,0.34125796,0.0
12.84272861,0.16833687,0.12738216,-0.09904785472303018,0.34125796,0.0
12.85663033,0.07089901,0.0430789,-0.11534838143258078,0.34125796,0.0
12.86636066,-0.0298748,-0.03697772,-0.13148135999575,0.34125796,0.0
12.87440777,-0.12233686,-0.10936648,-0.14397603911957327,0.34125796,0.0
12.88102245,-0.20809078,-0.17429154,-0.15601592424144817,0.34125796,0.0
12.88641548,-0.28686762,-0.23354185,-0.17746272438404562,0.34125796,0.0
12.89089108,-0.35862541,-0.28799045,-0.18703718733478633,0.34125796,0.0
12.89353371,-0.42580009,-0.33947808,-0.19527124542543128,0.34125796,0.0
